keys,en
RaidData.raid_mer_purge.display_name,Network Rerouting
RaidData.raid_mer_purge.warning_text,Meridian is rerouting the city around you. Everything it has is coming.
RaidData.raid_mer_retaliation.display_name,Chargeback
RaidData.raid_mer_retaliation.warning_text,Meridian traced the breach and filed a chargeback. Icebreaker inbound.
RaidData.raid_mer_story.display_name,Recall Shipment
RaidData.raid_mer_story.warning_text,Meridian wants its shipment back. Customs and a Hauler inbound.
RaidData.raid_node_built.display_name,Collections: Asset Seizure
RaidData.raid_node_built.warning_text,Solace noticed the new vault on their books. An Enforcer is coming to collect it.
RaidData.raid_purge.display_name,Collections: Purge
RaidData.raid_purge.warning_text,"Every Collections asset Solace has, in two waves."
RaidData.raid_retaliation.display_name,Collections: Retaliation
RaidData.raid_retaliation.warning_text,Solace traces the breach back along your route. An Icebreaker and an Auditor are inbound.
RaidData.raid_story.display_name,Collections: Quiet Word
RaidData.raid_story.warning_text,"Somebody read what you read. A Lockdown Unit and an Enforcer are on their way, no notice filed."
RingSegmentData.seg_accelerator.description,Nudge cards next turn trigger twice.
RingSegmentData.seg_accelerator.display_name,Accelerator
RingSegmentData.seg_anchor.description,On Perfect: your wheel skips its next respin.
RingSegmentData.seg_anchor.display_name,Anchor
RingSegmentData.seg_blank.description,No modifier.
RingSegmentData.seg_blank.display_name,-
RingSegmentData.seg_corrupt.description,The target's resolved slice becomes CORRUPTED.
RingSegmentData.seg_corrupt.display_name,Corrupt
RingSegmentData.seg_echo.description,The outer slice triggers again at half output.
RingSegmentData.seg_echo.display_name,Echo
RingSegmentData.seg_pierce.description,Ignore block and shield.
RingSegmentData.seg_pierce.display_name,Pierce
RingSegmentData.seg_x2.description,Outer slice output doubled.
RingSegmentData.seg_x2.display_name,x2
SiteData.blind_the_cameras.display_name,Blind the Cameras
SiteData.burn_the_ledger.display_name,Burn the Ledger
SiteData.civic_core_site.display_name,The Civic Core
SiteData.forge_the_manifest.display_name,Forge the Manifest
SiteData.h1_a.display_name,Parking Enforcement Office
SiteData.h1_b.display_name,Water Meter Grid
SiteData.h1_c.display_name,Streetlight Mesh
SiteData.h1_d.display_name,Resident Services Desk
SiteData.h1_e.display_name,Transit Fare Gates
SiteData.h1_f.display_name,Waste Routing Depot
SiteData.h1_g.display_name,Noise Complaint Registry
SiteData.h1_h.display_name,Permit Queue Server
SiteData.h1_i.display_name,Utility Shutoff Scheduler
SiteData.h1_j.display_name,Camera Maintenance Yard
SiteData.h2_breach.display_name,Emergency Override Authority
SiteData.h2_d.display_name,Predictive Patrol Model
SiteData.h2_e.display_name,Resident Credit Bureau
SiteData.h2_f.display_name,Water Rights Exchange
SiteData.h2_g.display_name,Transit Signal Control
SiteData.h2_h.display_name,Contract Billing Ledger
SiteData.h2_intel.display_name,Council Minutes Archive
SiteData.h2_virus.display_name,Open Data Portal
SiteData.h3_b.display_name,Zoning Futures Desk
SiteData.h3_c.display_name,Override Key Escrow
SiteData.h3_core.display_name,Civic Operations Centre
SiteData.h3_d.display_name,City Twin Simulator
SiteData.h3_e.display_name,Council Backchannel
SiteData.h3_f.display_name,Municipal Pricing Authority
SiteData.h3_g.display_name,Citizen Profile Archive
SiteData.h3_h.display_name,Halcyon Root Registry
SiteData.h_home.display_name,Home Server
SiteData.home.display_name,Home Server
SiteData.lose_the_case_file.display_name,Lose the Case File
SiteData.lose_the_tracking.display_name,Lose the Tracking
SiteData.m1_a.display_name,Parcel Sorting Hall
SiteData.m1_b.display_name,Customs Pre-Clearance
SiteData.m1_c.display_name,Tracking Beacon Array
SiteData.m1_d.display_name,Returns Processing Centre
SiteData.m1_e.display_name,Drone Charging Yard
SiteData.m1_f.display_name,Warehouse Shift Planner
SiteData.m1_g.display_name,Address Verification Desk
SiteData.m1_h.display_name,Cold Chain Monitor
SiteData.m1_i.display_name,Tariff Calculation Office
SiteData.m1_j.display_name,Fleet Telematics Hub
SiteData.m2_breach.display_name,Customs Key Authority
SiteData.m2_d.display_name,Priority Lane Exchange
SiteData.m2_e.display_name,Worker Scoring Engine
SiteData.m2_f.display_name,Port Congestion Model
SiteData.m2_g.display_name,Last-Mile Drone Command
SiteData.m2_h.display_name,Insurance Claims Ledger
SiteData.m2_intel.display_name,Shipping Manifest Vault
SiteData.m2_virus.display_name,Routing Table Mirror
SiteData.m3_b.display_name,Freight Futures Desk
SiteData.m3_c.display_name,Customs Override Escrow
SiteData.m3_core.display_name,Global Routing Core
SiteData.m3_d.display_name,Supply Twin Simulator
SiteData.m3_e.display_name,Board Logistics Backbone
SiteData.m3_f.display_name,Contract Pricing Authority
SiteData.m3_g.display_name,Surveillance Route Archive
SiteData.m3_h.display_name,Meridian Root Ledger
SiteData.m_home.display_name,Home Server
SiteData.pardon_the_district.display_name,Pardon the District
SiteData.purge_camera_logs.display_name,Purge Camera Logs
SiteData.renewal_engine_site.display_name,Renewal Engine
SiteData.reroute_the_audit.display_name,Reroute the Audit
SiteData.scrub_records.display_name,Scrub Records
SiteData.sink_the_cargo_logs.display_name,Sink the Cargo Logs
SiteData.t1_a.display_name,Continuum Billing Farm
SiteData.t1_b.display_name,Implant Provisioning Hub
SiteData.t1_c.display_name,Patient Records Vault
SiteData.t1_d.display_name,Renewal Call Centre
SiteData.t1_e.display_name,Adherence Monitoring Node
SiteData.t1_f.display_name,Wearable Telemetry Farm
SiteData.t1_g.display_name,Subscription Recovery Desk
SiteData.t1_h.display_name,Dosage Scheduling Grid
SiteData.t1_i.display_name,Insurance Reconciliation Hub
SiteData.t1_j.display_name,Firmware Signing Office
SiteData.t2_breach.display_name,Kill-Switch Authority
SiteData.t2_d.display_name,Clinical Trial Ledger
SiteData.t2_e.display_name,Compliance Audit Bureau
SiteData.t2_f.display_name,Continuum Update Mirror
SiteData.t2_g.display_name,Executive Wellness Suite
SiteData.t2_h.display_name,Recall Logistics Hub
SiteData.t2_intel.display_name,Pricing Memo Archive
SiteData.t2_virus.display_name,Patch Distribution Node
SiteData.t3_b.display_name,Renewal Forecasting Engine
SiteData.t3_c.display_name,Kill-Switch Escrow
SiteData.t3_core.display_name,Continuum Core Cluster
SiteData.t3_d.display_name,Patient Twin Simulator
SiteData.t3_e.display_name,Board Comms Backbone
SiteData.t3_f.display_name,Continuum Licensing Authority
SiteData.t3_g.display_name,Implant Cohort Archive
SiteData.t3_h.display_name,Solace Root Certificate Store
SiteData.the_manifest_site.display_name,The Manifest
SiteData.wipe_biometrics.display_name,Wipe Biometrics
SiteData.wipe_the_citations.display_name,Wipe the Citations
SliceData.atk_10.display_name,Attack 10
SliceData.atk_12.display_name,Attack 12
SliceData.atk_14.display_name,Attack 14
SliceData.atk_16.display_name,Attack 16
SliceData.atk_20.display_name,Attack 20
SliceData.atk_3.display_name,Attack 3
SliceData.atk_4.display_name,Attack 4
SliceData.atk_6.display_name,Attack 6
SliceData.atk_7.display_name,Attack 7
SliceData.atk_7_drain.display_name,Attack 7 (drains 1 RAM)
SliceData.atk_8.display_name,Attack 8
SliceData.atk_8_inertia.display_name,Attack 8 (+1 resistance)
SliceData.atk_9.display_name,Attack 9
SliceData.citation.display_name,Citation
SliceData.crit_12.display_name,Crit 12
SliceData.crit_12_drain.display_name,Crit 12 (drains 2 RAM)
SliceData.crit_14.display_name,Crit 14
SliceData.crit_15.display_name,Crit 15
SliceData.crit_16.display_name,Crit 16
SliceData.crit_24.display_name,Crit 24
SliceData.def_12.display_name,Defend 12
SliceData.def_2.display_name,Defend 2
SliceData.def_3.display_name,Defend 3
SliceData.def_4.display_name,Defend 4
SliceData.def_5.display_name,Defend 5
SliceData.def_6.display_name,Defend 6
SliceData.def_8.display_name,Defend 8
SliceData.deploy_1.display_name,Deploy 1
SliceData.dose.display_name,Dose
SliceData.evade_1.display_name,Evade
SliceData.evade_2.display_name,Evade 2
SliceData.heal_4.display_name,Heal 4
SliceData.heal_6.display_name,Heal 6
SliceData.miss.display_name,Miss
SliceData.shield_5.display_name,Shield 5
SliceData.shield_8.display_name,Shield 8
SliceData.tariff.display_name,Tariff
StoryBeatData.civic_contract_1.text,"A tender for municipal services: water, power, transit. The bidders are Meridian and something called Halcyon Civic. The evaluation was finished before the bids were opened."
StoryBeatData.civic_contract_1.title,Civic Contract I
StoryBeatData.civic_contract_2.text,"Halcyon Civic and Meridian share a board member, an auditor and a data centre. The tender is theatre."
StoryBeatData.civic_contract_2.title,Civic Contract II
StoryBeatData.civic_contract_3.text,"The routing mirror already has the city's water mains in it, labelled PHASE TWO."
StoryBeatData.civic_contract_3.title,Civic Contract III
StoryBeatData.civic_contract_bonus_1.text,Halcyon Civic's pitch deck: A City That Runs Itself. Page nine: A City That Bills Itself.
StoryBeatData.civic_contract_bonus_1.title,Civic Contract: Halcyon
StoryBeatData.civic_contract_bonus_2.text,The council votes on Thursday. The council does not know it is voting.
StoryBeatData.civic_contract_bonus_2.title,Civic Contract: The Vote
StoryBeatData.civic_contract_f.text,The Manifest falls and the tender collapses in the scandal. Halcyon Civic issues a statement welcoming the opportunity to serve the city directly.
StoryBeatData.civic_contract_f.title,Civic Contract: Finale
StoryBeatData.clinical_trial_1.text,"The memos reference cohort C, the people who tested the Continuum. They were billed for participation. Consent was a checkbox inside the subscription flow."
StoryBeatData.clinical_trial_1.title,Clinical Trial I
StoryBeatData.clinical_trial_2.text,"Kill-switch logs: cohort C's control group was bricked first, to measure adherence under threat. The measure was excellent. The group was not consulted."
StoryBeatData.clinical_trial_2.title,Clinical Trial II
StoryBeatData.clinical_trial_3.text,The patch is the trial's real result: the implants work fine without the leash. Solace shipped the leash anyway. The paper was never published.
StoryBeatData.clinical_trial_3.title,Clinical Trial III
StoryBeatData.clinical_trial_bonus_1.text,The trial ledger names the reviewers who signed off. Two of them hold Solace stock. One of them holds a Continuum implant on the unbricked executive tier.
StoryBeatData.clinical_trial_bonus_1.title,Clinical Trial: The Ledger
StoryBeatData.clinical_trial_bonus_2.text,Eleven members of cohort C are still alive and still paying. One of them runs a Terminal you have used.
StoryBeatData.clinical_trial_bonus_2.title,Clinical Trial: Cohort C
StoryBeatData.clinical_trial_f.text,"The Engine falls and the trial data goes wherever the Cell sends it. Cohort C's names come off the ledger. For the first time, Solace has to consent to something."
StoryBeatData.clinical_trial_f.title,Clinical Trial: Finale
StoryBeatData.customs_hold_1.text,"Six hundred parcels sit in customs pre-clearance, flagged for review. Every one of them is a prescription. The review queue has no reviewers."
StoryBeatData.customs_hold_1.title,Customs Hold I
StoryBeatData.customs_hold_2.text,"The hold fee doubles every week. The memo calls it an incentive to comply. Comply with what, it does not say."
StoryBeatData.customs_hold_2.title,Customs Hold II
StoryBeatData.customs_hold_3.text,The routing mirror shows where the fees go: a shell called Clearwater Holdings. Clearwater owns the reviewers who do not exist.
StoryBeatData.customs_hold_3.title,Customs Hold III
StoryBeatData.customs_hold_bonus_1.text,"A list of names, addresses and what they are waiting for. Some of the dates are a year old."
StoryBeatData.customs_hold_bonus_1.title,Customs Hold: The List
StoryBeatData.customs_hold_bonus_2.text,"Clearwater Holdings has one employee, one office and nine billion in receivables."
StoryBeatData.customs_hold_bonus_2.title,Customs Hold: Clearwater
StoryBeatData.customs_hold_f.text,The Manifest crashes and customs clears itself. Six hundred parcels move at once. The district's doctors have a very busy week.
StoryBeatData.customs_hold_f.title,Customs Hold: Finale
StoryBeatData.ghost_freight_1.text,"Shipments ordered by an account with no owner. Delivered to addresses that do not exist. Paid for, in full, before the order was placed."
StoryBeatData.ghost_freight_1.title,Ghost Freight I
StoryBeatData.ghost_freight_2.text,The same account bought Solace stock the day the Renewal Engine fell. It is buying Meridian puts now. It knows something.
StoryBeatData.ghost_freight_2.title,Ghost Freight II
StoryBeatData.ghost_freight_3.text,The account's timestamps are wrong. Not forged. Wrong. Some of them are from next week.
StoryBeatData.ghost_freight_3.title,Ghost Freight III
StoryBeatData.ghost_freight_bonus_1.text,The account signs its orders with a hash. DISPATCH signs its orders with a hash. They are not the same hash. They are very close.
StoryBeatData.ghost_freight_bonus_1.title,Ghost Freight: Signature
StoryBeatData.ghost_freight_bonus_2.text,"Every collapse the Cell causes, the account profits. Every single one."
StoryBeatData.ghost_freight_bonus_2.title,Ghost Freight: The Buyer
StoryBeatData.ghost_freight_f.text,"The Manifest dies and the ghost account closes itself one second later, fully paid. Nobody told it the job was done."
StoryBeatData.ghost_freight_f.title,Ghost Freight: Finale
StoryBeatData.ghost_patient_1.text,"A patient record with no name, no address and a perfect payment history older than the Continuum. It keeps paying. It renews from an account the Cell has used."
StoryBeatData.ghost_patient_1.title,Ghost Patient I
StoryBeatData.ghost_patient_2.text,"The kill-switch logs show a bricking order sent from inside the Cell's own network, three campaigns ago, before this Cell existed."
StoryBeatData.ghost_patient_2.title,Ghost Patient II
StoryBeatData.ghost_patient_3.text,The patch carries a signature in its header. DISPATCH would recognise it. DISPATCH wrote it.
StoryBeatData.ghost_patient_3.title,Ghost Patient III
StoryBeatData.ghost_patient_bonus_1.text,The ghost's renewals clear eleven seconds before each Cell operation begins. Every time. Someone is paying to watch.
StoryBeatData.ghost_patient_bonus_1.title,Ghost Patient: Timestamps
StoryBeatData.ghost_patient_bonus_2.text,Escrow records name a buyer for Solace's patient data after the breach. The breach is next month. The buyer's key matches your handler's traffic.
StoryBeatData.ghost_patient_bonus_2.title,Ghost Patient: The Buyer
StoryBeatData.ghost_patient_f.text,The Engine falls. The ghost patient's account closes itself the same second. DISPATCH sends congratulations with a timestamp four minutes before the last hit landed.
StoryBeatData.ghost_patient_f.title,Ghost Patient: Finale
StoryBeatData.hostile_takeover_1.text,The pricing memos were leaked to the Cell by a Solace board member. The board member's other seat is at Meridian Freight Systems.
StoryBeatData.hostile_takeover_1.title,Hostile Takeover I
StoryBeatData.hostile_takeover_2.text,"Meridian's autonomous fleet carries Solace's implants. The kill-switch authority is licensed, quietly, to Meridian's logistics AI, in case a shipment is stolen."
StoryBeatData.hostile_takeover_2.title,Hostile Takeover II
StoryBeatData.hostile_takeover_3.text,"The patch was seeded onto Meridian trucks first. Meridian wants the leash gone: their own subscription is the route, not the heart."
StoryBeatData.hostile_takeover_3.title,Hostile Takeover III
StoryBeatData.hostile_takeover_bonus_1.text,Meridian has offered to buy the Continuum at a discount the day after the Engine falls. The Cell is doing their due diligence for them.
StoryBeatData.hostile_takeover_bonus_1.title,Hostile Takeover: The Offer
StoryBeatData.hostile_takeover_bonus_2.text,Every Meridian truck in the district runs the same handler protocol the Cell uses. The next corporation already knows the Cell's voice.
StoryBeatData.hostile_takeover_bonus_2.title,Hostile Takeover: The Fleet
StoryBeatData.hostile_takeover_f.text,The Renewal Engine goes dark and Meridian's bid clears before the sun comes up. Solace is gone. The leash is not; it changed hands. The Cell's next target names itself.
StoryBeatData.hostile_takeover_f.title,Hostile Takeover: Finale
StoryBeatData.last_mile_1.text,"Every drone films its route. Every route is kept. The archive is sold by the street, by the hour, to anyone with a login."
StoryBeatData.last_mile_1.title,Last Mile I
StoryBeatData.last_mile_2.text,The drones fly low over the protest routes on purpose. The contract calls it situational awareness.
StoryBeatData.last_mile_2.title,Last Mile II
StoryBeatData.last_mile_3.text,The surveillance archive has the Cell in it. Not your faces. Your routes. Meridian has been mapping you.
StoryBeatData.last_mile_3.title,Last Mile III
StoryBeatData.last_mile_bonus_1.text,The archive's biggest customer is a security firm owned by Halcyon Civic.
StoryBeatData.last_mile_bonus_1.title,Last Mile: Buyers
StoryBeatData.last_mile_bonus_2.text,Tonight's flight plan crosses the Cell's safehouse three times. It never used to.
StoryBeatData.last_mile_bonus_2.title,Last Mile: The Flight Plan
StoryBeatData.last_mile_f.text,The Manifest falls and every drone in the city lands where it is. The district looks up at an empty sky and does not know what to do with it.
StoryBeatData.last_mile_f.title,Last Mile: Finale
StoryBeatData.lost_cargo_1.text,"The manifests show it plainly: forty pallets of insulin marked lost in transit, every week, like clockwork. The same pallets turn up in Meridian's premium lane at triple the price."
StoryBeatData.lost_cargo_1.title,Lost Cargo I
StoryBeatData.lost_cargo_2.text,"The customs keys unlock a folder called SHRINKAGE STRATEGY. It sets a loss target per district. The poorer the postcode, the higher the target."
StoryBeatData.lost_cargo_2.title,Lost Cargo II
StoryBeatData.lost_cargo_3.text,"The routing table has a rule with no author: if the recipient's credit score falls below a line, reroute to premium. The line moves every quarter."
StoryBeatData.lost_cargo_3.title,Lost Cargo III
StoryBeatData.lost_cargo_bonus_1.text,"Row 44, bay 9. Forty pallets, cold-chain green, marked lost. The Cell could walk them out the door."
StoryBeatData.lost_cargo_bonus_1.title,Lost Cargo: The Warehouse
StoryBeatData.lost_cargo_bonus_2.text,Solace Biosystems pays Meridian a retainer for 'predictable scarcity'. The two boards share a golf course and a lawyer.
StoryBeatData.lost_cargo_bonus_2.title,Lost Cargo: Solace
StoryBeatData.lost_cargo_f.text,"The Manifest goes dark and forty pallets find their way home. For one week, nothing in the district is lost in transit."
StoryBeatData.lost_cargo_f.title,Lost Cargo: Finale
StoryBeatData.night_shift_1.text,"Worker 5512 was fired at 03:14 for a bathroom break the model called idle time. The model has fired four thousand people. It has never been wrong, according to itself."
StoryBeatData.night_shift_1.title,The Night Shift I
StoryBeatData.night_shift_2.text,The scoring engine was tuned to fire one in twenty every quarter. Not for cause. For motivation. The deck calls it healthy churn.
StoryBeatData.night_shift_2.title,The Night Shift II
StoryBeatData.night_shift_3.text,The workers have a group chat. They know which aisles the cameras miss. They would like to talk to whoever cut the Customs Keys.
StoryBeatData.night_shift_3.title,The Night Shift III
StoryBeatData.night_shift_bonus_1.text,"A picker named Oyelaran runs the chat. She says the Cell can have the warehouse floor plans if it never, ever leaks her name."
StoryBeatData.night_shift_bonus_1.title,The Night Shift: Union
StoryBeatData.night_shift_bonus_2.text,The quota rises two percent every time someone meets it. Nobody has met it since spring.
StoryBeatData.night_shift_bonus_2.title,The Night Shift: The Quota
StoryBeatData.night_shift_f.text,"The Manifest falls and the scoring engine forgets every score. On the night shift, for the first time in years, someone sits down."
StoryBeatData.night_shift_f.title,The Night Shift: Finale
StoryBeatData.orbital_uplink_1.text,"The Civic Core's uptime is guaranteed by a contract with Orbital Commons. If the link drops, the city drops."
StoryBeatData.orbital_uplink_1.title,Orbital Uplink I
StoryBeatData.orbital_uplink_2.text,"Orbital Commons bills Halcyon per resident per second. Halcyon bills residents per second, plus margin."
StoryBeatData.orbital_uplink_2.title,Orbital Uplink II
StoryBeatData.orbital_uplink_3.text,The council backchannel has a memo: Orbital Commons wants the city itself as collateral.
StoryBeatData.orbital_uplink_3.title,Orbital Uplink III
StoryBeatData.orbital_uplink_bonus_1.text,The uplink dish on the operations centre roof is the size of a house and guarded like a bank.
StoryBeatData.orbital_uplink_bonus_1.title,Orbital Uplink: The Dish
StoryBeatData.orbital_uplink_bonus_2.text,Orbital Commons calls its satellites public infrastructure. It has never let the public near them.
StoryBeatData.orbital_uplink_bonus_2.title,Orbital Uplink: Commons
StoryBeatData.orbital_uplink_f.text,"The Civic Core falls. Somewhere above the city, an Orbital Commons satellite notes the lost customer and adjusts its orbit toward the Cell."
StoryBeatData.orbital_uplink_f.title,Orbital Uplink: Finale
StoryBeatData.predictive_policing_1.text,The patrol model's training data is its own arrest records. It has been learning from itself for six years.
StoryBeatData.predictive_policing_1.title,Predictive Policing I
StoryBeatData.predictive_policing_2.text,"Patrol units earn Halcyon a fee per stop. The model is tuned for stops, not safety. The memo calls it throughput."
StoryBeatData.predictive_policing_2.title,Predictive Policing II
StoryBeatData.predictive_policing_3.text,The model has a list of names it calls pre-offenders. Three of them are Cell operatives. One of them is nine years old.
StoryBeatData.predictive_policing_3.title,Predictive Policing III
StoryBeatData.predictive_policing_bonus_1.text,Red squares on a city map. Every red square is a poor block. Every poor block is red.
StoryBeatData.predictive_policing_bonus_1.title,Predictive Policing: The Heatmap
StoryBeatData.predictive_policing_bonus_2.text,Stop quotas rise every quarter. Nobody at Halcyon has ever asked what the stops are for.
StoryBeatData.predictive_policing_bonus_2.title,Predictive Policing: Quotas
StoryBeatData.predictive_policing_f.text,"The Civic Core falls and the patrol model forgets every name on its list. For a month, nobody is a pre-offender."
StoryBeatData.predictive_policing_f.title,Predictive Policing: Finale
StoryBeatData.recall_notice_1.text,The pricing memos price the failure. Batch 22 fails at day 900; the renewal that follows costs more than the implant did. Someone in Solace ran the numbers and chose the number.
StoryBeatData.recall_notice_1.title,Recall Notice I
StoryBeatData.recall_notice_2.text,"The kill-switch authority holds a list: batch 22 devices, flagged for remote shutdown the day their warranty ends. The switch was never meant to be used. It was used, quietly, by schedule."
StoryBeatData.recall_notice_2.title,Recall Notice II
StoryBeatData.recall_notice_3.text,"The open-source patch fixes the day-900 fault in eleven lines. Solace's engineers wrote it in a week, then buried it under a legal hold to protect renewals."
StoryBeatData.recall_notice_3.title,Recall Notice III
StoryBeatData.recall_notice_bonus_1.text,"Recall notice, draft seven, never sent. Every draft made the fault smaller. The last one called it a feature."
StoryBeatData.recall_notice_bonus_1.title,Recall Notice: Draft 7
StoryBeatData.recall_notice_bonus_2.text,Four thousand subbies in batch 22 are still walking around with a clock in their chests. The Cell has the patch. The Cell has a delivery problem.
StoryBeatData.recall_notice_bonus_2.title,Recall Notice: The Cohort
StoryBeatData.recall_notice_f.text,The Renewal Engine goes dark and the recall notice ships itself: every batch 22 device pulls the patch on its next check-in. Solace announces nothing. The district hears the silence where the bricking used to be.
StoryBeatData.recall_notice_f.title,Recall Notice: Finale
StoryBeatData.smart_meters_1.text,"The meters measure power and water. The firmware also measures voices, footsteps and how many people sleep in a room."
StoryBeatData.smart_meters_1.title,Smart Meters I
StoryBeatData.smart_meters_2.text,Halcyon raises the bill for homes with more people than the lease allows. The meters count them.
StoryBeatData.smart_meters_2.title,Smart Meters II
StoryBeatData.smart_meters_3.text,The citizen profile archive has a file on every home. The Cell's safehouse file is thicker than most.
StoryBeatData.smart_meters_3.title,Smart Meters III
StoryBeatData.smart_meters_bonus_1.text,A technician has a firmware patch that deafens the meters. He needs the Cell to push it city-wide.
StoryBeatData.smart_meters_bonus_1.title,Smart Meters: The Patch
StoryBeatData.smart_meters_bonus_2.text,The overcrowding surcharge funds the patrol units that evict the overcrowded.
StoryBeatData.smart_meters_bonus_2.title,Smart Meters: Overcrowding
StoryBeatData.smart_meters_f.text,The Civic Core falls and the meters go deaf all at once. The city is quiet in a way it has not been for years.
StoryBeatData.smart_meters_f.title,Smart Meters: Finale
StoryBeatData.terms_of_service_1.text,Clause 44 makes cardiac pacing a licensed feature. The pricing memos call it the anchor clause: the thing that makes everything else enforceable.
StoryBeatData.terms_of_service_1.title,Terms of Service I
StoryBeatData.terms_of_service_2.text,"The kill-switch is the enforcement clause. Every bricking is logged as a service interruption, signed by an automated counsel process that has never lost a case."
StoryBeatData.terms_of_service_2.title,Terms of Service II
StoryBeatData.terms_of_service_3.text,"The patch voids the terms. Solace's legal filing calls it piracy of the self. The Cell's lawyer, if it had one, would call it a fine phrase."
StoryBeatData.terms_of_service_3.title,Terms of Service III
StoryBeatData.terms_of_service_bonus_1.text,Two million and change accepted the terms. The acceptance screen has no scroll bar; clause 44 was never on it.
StoryBeatData.terms_of_service_bonus_1.title,Terms of Service: The Signature
StoryBeatData.terms_of_service_bonus_2.text,"Somebody in the district printed the Cell's own terms on stickers: your heart, your firmware. They are on every Terminal now."
StoryBeatData.terms_of_service_bonus_2.title,Terms of Service: Counter-Terms
StoryBeatData.terms_of_service_f.text,"The Renewal Engine cannot enforce a contract it cannot read. When it goes dark, the terms go with it. Nobody agrees to clause 44 again."
StoryBeatData.terms_of_service_f.title,Terms of Service: Finale
StoryBeatData.the_census_1.text,The census data was copied the night it was collected. The copy went to an account with no name and no owner.
StoryBeatData.the_census_1.title,The Census I
StoryBeatData.the_census_2.text,The same account paid for Meridian freight that never shipped and Solace stock the day it crashed. It pays before it orders.
StoryBeatData.the_census_2.title,The Census II
StoryBeatData.the_census_3.text,The account read the census for one name. It was looking for the leader of a cell that does not officially exist.
StoryBeatData.the_census_3.title,The Census III
StoryBeatData.the_census_bonus_1.text,The copy is timestamped a day before the census began. The clocks were not wrong.
StoryBeatData.the_census_bonus_1.title,The Census: Timestamps
StoryBeatData.the_census_bonus_2.text,A recording from the census call centre. A caller asks for the Cell's leader by a name only DISPATCH uses.
StoryBeatData.the_census_bonus_2.title,The Census: The Voice
StoryBeatData.the_census_f.text,"The Civic Core dies. The unnamed account withdraws everything one second later, and sends the Cell a thank-you note it did not sign."
StoryBeatData.the_census_f.title,The Census: Finale
StoryBeatData.the_cure_1.text,"The memos price a permanent fix: one firmware update, no leash, no renewals. Projected revenue loss: everything. The memo is marked do not build."
StoryBeatData.the_cure_1.title,The Cure I
StoryBeatData.the_cure_2.text,The kill-switch keeps the cure a subscription: a fixed implant that stops calling home gets bricked as a security precaution.
StoryBeatData.the_cure_2.title,The Cure II
StoryBeatData.the_cure_3.text,"The patch is the cure, one download at a time. It was built by a Solace engineer on her own time. Her badge was revoked the day it leaked."
StoryBeatData.the_cure_3.title,The Cure III
StoryBeatData.the_cure_bonus_1.text,"She is alive, unbadged, and running a Terminal on the east grid. She wants nothing from the Cell except that the patch keeps moving."
StoryBeatData.the_cure_bonus_1.title,The Cure: The Engineer
StoryBeatData.the_cure_bonus_2.text,A free implant costs Solace four renewals a year. The Cell has cost Solace more than that this month.
StoryBeatData.the_cure_bonus_2.title,The Cure: The Cost
StoryBeatData.the_cure_f.text,The Engine goes dark and the cure ships for free through every Rack the Cell ever touched. Solace's stock does what stock does. The district's hearts keep time on their own.
StoryBeatData.the_cure_f.title,The Cure: Finale
StoryBeatData.transit_blackout_1.text,"The signal control logs show maintenance windows that match every protest in the last year, to the minute."
StoryBeatData.transit_blackout_1.title,Transit Blackout I
StoryBeatData.transit_blackout_2.text,The emergency override has a mode called CONTAIN. It stops every train into a district and opens the doors on none.
StoryBeatData.transit_blackout_2.title,Transit Blackout II
StoryBeatData.transit_blackout_3.text,The open data portal publishes the protest schedule to Halcyon before the protesters post it. Someone inside is selling it.
StoryBeatData.transit_blackout_3.title,Transit Blackout III
StoryBeatData.transit_blackout_bonus_1.text,A tram driver kept her doors open during a CONTAIN. She was fired the next day. She would like a word with the Cell.
StoryBeatData.transit_blackout_bonus_1.title,Transit Blackout: The Driver
StoryBeatData.transit_blackout_bonus_2.text,Next week's maintenance windows are already set. They match a march nobody has announced yet.
StoryBeatData.transit_blackout_bonus_2.title,Transit Blackout: The Schedule
StoryBeatData.transit_blackout_f.text,"The Civic Core crashes and every tram in the city runs its whole route, doors open, lights on. Nobody pays."
StoryBeatData.transit_blackout_f.title,Transit Blackout: Finale
StoryBeatData.water_rights_1.text,"The council minutes show the vote: water sold to Halcyon for one credit, with a clause that lets it set the price by postcode."
StoryBeatData.water_rights_1.title,Water Rights I
StoryBeatData.water_rights_2.text,"The emergency override can shut off a street's water in four seconds. The log shows it used forty times this year, always on streets behind on rent."
StoryBeatData.water_rights_2.title,Water Rights II
StoryBeatData.water_rights_3.text,"The open data portal leaks a model: raise prices when it is hottest, because demand cannot fall. The model's name is Thirst."
StoryBeatData.water_rights_3.title,Water Rights III
StoryBeatData.water_rights_bonus_1.text,Pump station nine is manual. Someone could open it by hand. Someone would need to know where it is.
StoryBeatData.water_rights_bonus_1.title,Water Rights: The Pumps
StoryBeatData.water_rights_bonus_2.text,Meridian Freight Systems hauls bottled water into the districts Halcyon cuts off. They split the margin.
StoryBeatData.water_rights_bonus_2.title,Water Rights: Meridian
StoryBeatData.water_rights_f.text,"The Civic Core goes dark and every valve in the city fails open. For one hot week, the water is free."
StoryBeatData.water_rights_f.title,Water Rights: Finale
StoryPathData.sp_civic_contract.premise,"Meridian is bidding to run the city's water, power and transit. The winner is already decided."
StoryPathData.sp_civic_contract.title,Civic Contract
StoryPathData.sp_clinical_trial.premise,The Continuum was tested on people who could not say no.
